"","X.1","X","ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","stocks1$BMSY"
"304",304,304,"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Celtic-Biscay Shelf","Scomber scombrus","Mackerel","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa",24,3,35,35,2986850,2986850
"305",305,305,"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Iberian Coastal","Sardina pilchardus","European pilchard","VIIIc-IXa",25,1,0,29,NA,NA
"306",306,306,"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Celtic-Biscay Shelf","Micromesistius poutassou","Blue whiting","Northeast Atlantic",24,5,27,26,10523200,10523200
"307",307,307,"WGNSDS-CODIS-1968-2006-MINTO","Celtic-Biscay Shelf","Gadus morhua","Atlantic cod","Irish Sea",24,1,39,39,51611.1,51611.1
"308",308,308,"WGNSDS-CODVIa-1977-2006-MINTO","Celtic-Biscay Shelf","Gadus morhua","Atlantic cod","West of Scotland",24,1,29,29,66571.6,66571.6
"309",309,309,"WGNSDS-HADIS-1972-2006-MINTO","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","Irish Sea",24,1,15,34,NA,NA
"310",310,310,"WGNSDS-HADVIa-1977-2006-MINTO","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","West of Scotland",24,1,29,29,78659.9,78659.9
"311",311,311,"WGNSDS-PLAICIS-1962-2006-MINTO","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Irish Sea",24,1,43,43,12397.2,12397.2
"312",312,312,"WGNSDS-SOLEIS-1968-2006-MINTO","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Irish Sea",24,1,37,37,5913.34,5913.34
"313",313,313,"WGNSDS-WHITVIa-1984-2007-MINTO","Celtic-Biscay Shelf","Merlangius merlangus","Whiting","West of Scotland",24,1,23,0,NA,NA
"314",314,314,"WGNSSK-CODNS-1962-2007-MINTO","North Sea","Gadus morhua","Atlantic cod","North Sea",22,1,44,44,836284,836284
"315",315,315,"WGNSSK-HADNS-IIIa-1963-2006-MINTO","North Sea","Melanogrammus aeglefinus","Haddock","IIIa and North Sea",22,1,44,44,1667420,1667420
"316",316,316,"WGNSSK-HADROCK-1990-2007-JENNINGS","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","Rockall Bank",24,1,16,16,NA,NA
"317",317,317,"WGNSSK-NPOUTNS-1983-2007-MINTO","North Sea","Trisopterus esmarkii","Norway pout","North Sea",22,1,24,24,659068,659068
"318",318,318,"WGNSSK-PLAIC7d-1979-2006-MINTO","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Eastern English Channel",24,1,0,27,NA,NA
"319",319,319,"WGNSSK-PLAICIIIa-1976-2006-MINTO","North Sea","Pleuronectes platessa","European Plaice","Kattegat and Skagerrak",22,1,0,29,NA,NA
"320",320,320,"WGNSSK-PLAICNS-1956-2006-MINTO","North Sea","Pleuronectes platessa","European Plaice","North Sea",22,1,0,50,NA,NA
"321",321,321,"WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO","North Sea","Pollachius virens","Pollock","IIIa, VI and North Sea",22,2,40,40,1036930,1036930
"322",322,322,"WGNSSK-SEELNS-1983-2007-MINTO","North Sea","Ammodytes marinus","Sand lance","North Sea",22,1,25,25,1904420,1904420
"323",323,323,"WGNSSK-SOLENS-1956-2006-MINTO","North Sea","Solea vulgaris","common European sole","North Sea",22,1,0,50,NA,NA
"324",324,324,"WGNSSK-SOLEVIId-1981-2006-MINTO","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Eastern English Channel",24,1,25,25,15948.5,15948.5
"325",325,325,"WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO","North Sea","Merlangius merlangus","Whiting","IIIa, VIId and North Sea",22,2,27,27,457963,457963
"326",326,326,"WGSSDS-HADVIIb-k-1993-2006-JENNINGS","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","ICES VIIb-k",24,1,14,14,NA,NA
"327",327,327,"WGSSDS-PLAICCELT-1976-2006-JENNINGS","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Celtic Sea",24,1,30,30,3940.92,3940.92
"328",328,328,"WGSSDS-PLAICECHW-1975-2006-JENNINGS","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Western English Channel",24,1,31,31,7041.32,7041.32
"329",329,329,"WGSSDS-SOLECS-1970-2006-JENNINGS","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Celtic Sea",24,1,36,36,4435.45,4435.45
"330",330,330,"WGSSDS-SOLEVIIe-1968-2006-JENNINGS","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Western English Channel",24,1,38,38,6929.88,6929.88
"331",331,331,"WGSSDS-WHITVIIek-1982-2007-JENNINGS","Celtic-Biscay Shelf","Merlangius merlangus","Whiting","Celtic Sea",24,1,25,25,60728.9,60728.9
